session,data,material,model,N,backend,optimiser,n_fit,C1,gamma1,C2,gamma2,C3,gamma3,C4,gamma4,Q_inf,b,sigma_y0_monotonic,sigma_y0_cyclic,bauschinger_ratio,surrogate_obj_MPa,fe_obj_MPa,fe_peak_T_MPa,fe_peak_C_MPa,active_constraints
20260711_120758_2data_chaboche_surrogate,2data.csv,,chaboche,3,surrogate,bayesian,5,28685.323317088143,88.14052420016438,9035.66857720112,29.380174733388127,383.49365004871765,9.793391577796042,,,-101.83138892900381,1.0079618337078617,500.0,156.66367527539046,0.3133273505507809,68.09702074930271,60.85075052499563,583.6526489,-586.3084717,b@lower-bound(1); gamma1/gamma2@separation-floor(3); gamma2/gamma3@separation-floor(3); Q_inf@yield-floor(35% sigma_y0)
20260711_123947_2data_chaboche_surrogate,2data.csv,paper N2 justification,chaboche,2,surrogate,bayesian,5,29995.55939129379,76.83180293101448,5812.81465059067,25.610600977004825,,,,,-116.18196441418556,11.576972840235408,500.0,178.74148371413162,0.35748296742826324,85.00680897151008,87.62111600701299,532.4171143,-523.5045166,C1@upper-bound(30000); gamma1/gamma2@separation-floor(3); Q_inf@yield-floor(35% sigma_y0)
